timestamp,num_layers,num_heads,d_model,d_ff,context_length,batch_size,only_forward,bfloat16,mean_s,std_s
2025-08-06T05:47:22,12,12,768,3072,128,4,False,False,0.049589090049266815,0.0003879237046930939,False
2025-08-06T05:47:26,12,12,768,3072,128,4,False,True,0.04960740730166435,0.0008903941488824785,False
2025-08-06T05:47:30,12,12,768,3072,128,4,True,False,0.020417550578713417,4.8239660827675834e-05,False
2025-08-06T05:47:34,12,12,768,3072,128,4,True,True,0.020308425650000572,4.158870069659315e-05,False
2025-08-06T05:47:39,12,12,768,3072,256,4,False,False,0.04953836649656296,0.0003636281471699476,False
2025-08-06T05:47:44,12,12,768,3072,256,4,False,True,0.046448223292827606,0.0019529812270775437,False
2025-08-06T05:47:48,12,12,768,3072,256,4,True,False,0.021034996956586838,0.00016905977099668235,False
2025-08-06T05:47:52,12,12,768,3072,256,4,True,True,0.02132537215948105,0.0007891828427091241,False
2025-08-06T05:47:57,12,12,768,3072,512,4,False,False,0.06260471791028976,0.0006385091110132635,False
2025-08-06T05:48:02,12,12,768,3072,512,4,False,True,0.062493156641721725,0.0002254610153613612,False
2025-08-06T05:48:06,12,12,768,3072,512,4,True,False,0.02156241424381733,0.0001285547186853364,False
2025-08-06T05:48:10,12,12,768,3072,512,4,True,True,0.021584609523415565,0.00032177643151953816,False
2025-08-06T05:48:16,12,12,768,3072,1024,4,False,False,0.1381303071975708,0.000983725069090724,False
2025-08-06T05:48:22,12,12,768,3072,1024,4,False,True,0.1380673348903656,0.0009352447232231498,False
2025-08-06T05:48:27,12,12,768,3072,1024,4,True,False,0.04459785297513008,6.811904313508421e-05,False
2025-08-06T05:48:31,12,12,768,3072,1024,4,True,True,0.04466317966580391,0.00017321191262453794,False
2025-08-06T05:48:38,24,16,1024,4096,128,4,False,False,0.09611580520868301,0.0004719608696177602,False
2025-08-06T05:48:45,24,16,1024,4096,128,4,False,True,0.09685636311769485,0.0018860140116885304,False
2025-08-06T05:48:51,24,16,1024,4096,128,4,True,False,0.04121627286076546,0.0010419375030323863,False
2025-08-06T05:48:57,24,16,1024,4096,128,4,True,True,0.042974237352609634,0.0013791880337521434,False
2025-08-06T05:49:04,24,16,1024,4096,256,4,False,False,0.09845313429832458,0.0017006048001348972,False
2025-08-06T05:49:11,24,16,1024,4096,256,4,False,True,0.0986625999212265,0.0005392806488089263,False
2025-08-06T05:49:17,24,16,1024,4096,256,4,True,False,0.044204194098711014,0.0010538038332015276,False
2025-08-06T05:49:23,24,16,1024,4096,256,4,True,True,0.040754444897174835,0.00036882655695080757,False
2025-08-06T05:49:31,24,16,1024,4096,512,4,False,False,0.1585114747285843,0.0010654516518115997,False
2025-08-06T05:49:39,24,16,1024,4096,512,4,False,True,0.15846915543079376,0.0006874988321214914,False
2025-08-06T05:49:45,24,16,1024,4096,512,4,True,False,0.050175052136182785,0.00018270780856255442,False
2025-08-06T05:49:51,24,16,1024,4096,512,4,True,True,0.05029797554016113,0.00011273637210251763,False
2025-08-06T05:50:02,24,16,1024,4096,1024,4,False,False,0.3876720368862152,0.00033937388798221946,False
2025-08-06T05:50:14,24,16,1024,4096,1024,4,False,True,0.3887321949005127,0.0006858942797407508,False
