timestamp,num_layers,num_heads,d_model,d_ff,context_length,batch_size,only_forward,mean_s,std_s,oom,compile
2025-08-24T14:37:34,12,12,768,3072,128,4,False,False,0.05526002496480942,0.004771864041686058,False,False
2025-08-24T14:37:50,12,12,768,3072,128,4,False,False,0.03075416013598442,0.00020214769756421447,False,True
2025-08-24T14:37:55,12,12,768,3072,128,4,False,False,0.10908957570791245,0.16437923908233643,False,False
2025-08-24T14:38:05,12,12,768,3072,128,4,False,False,0.40678906440734863,1.1892831325531006,False,True
2025-08-24T14:38:10,12,12,768,3072,128,4,True,False,0.02134682424366474,6.019329157425091e-05,False,False
2025-08-24T14:38:19,12,12,768,3072,128,4,True,False,0.008885107934474945,6.297484651440755e-05,False,True
2025-08-24T14:38:24,12,12,768,3072,128,4,True,False,0.061989642679691315,0.12789912521839142,False,False
2025-08-24T14:38:32,12,12,768,3072,128,4,True,False,0.2634877562522888,0.8042426109313965,False,True
2025-08-24T14:38:38,12,12,768,3072,256,4,False,False,0.0576452910900116,0.0037194525357335806,False,False
2025-08-24T14:38:52,12,12,768,3072,256,4,False,False,0.032672639936208725,0.00027077761478722095,False,True
2025-08-24T14:38:57,12,12,768,3072,256,4,False,False,0.11180603504180908,0.1704220473766327,False,False
2025-08-24T14:39:07,12,12,768,3072,256,4,False,False,0.40463462471961975,1.174200415611267,False,True
2025-08-24T14:39:12,12,12,768,3072,256,4,True,False,0.02142859436571598,7.35899229766801e-05,False,False
2025-08-24T14:39:21,12,12,768,3072,256,4,True,False,0.009174901060760021,5.905745274503715e-05,False,True
2025-08-24T14:39:26,12,12,768,3072,256,4,True,False,0.0648755431175232,0.1332167685031891,False,False
2025-08-24T14:39:34,12,12,768,3072,256,4,True,False,0.2641679048538208,0.8063912987709045,False,True
2025-08-24T14:39:39,12,12,768,3072,512,4,False,False,0.06356223672628403,0.0028108027763664722,False,False
2025-08-24T14:39:53,12,12,768,3072,512,4,False,False,0.040580395609140396,0.0004351471725385636,False,True
2025-08-24T14:39:59,12,12,768,3072,512,4,False,False,0.11613599210977554,0.16645464301109314,False,False
2025-08-24T14:40:08,12,12,768,3072,512,4,False,False,0.4300345480442047,1.2346833944320679,False,True
2025-08-24T14:40:13,12,12,768,3072,512,4,True,False,0.022209294140338898,7.704741437919438e-05,False,False
2025-08-24T14:40:23,12,12,768,3072,512,4,True,False,0.011521846055984497,0.000495849410071969,False,True
2025-08-24T14:40:28,12,12,768,3072,512,4,True,False,0.06179109960794449,0.12443111836910248,False,False
2025-08-24T14:40:36,12,12,768,3072,512,4,True,False,0.2662535309791565,0.8065052032470703,False,True
2025-08-24T14:40:43,12,12,768,3072,1024,4,False,False,0.13749198615550995,0.0007945565739646554,False,False
2025-08-24T14:40:57,12,12,768,3072,1024,4,False,False,0.08232975006103516,0.00030675166635774076,False,True
2025-08-24T14:41:03,12,12,768,3072,1024,4,False,False,0.1873844563961029,0.1573728322982788,False,False
2025-08-24T14:41:13,12,12,768,3072,1024,4,False,False,0.4507163166999817,1.1663079261779785,False,True
2025-08-24T14:41:18,12,12,768,3072,1024,4,True,False,0.04488470405340195,0.0007033921428956091,False,False
2025-08-24T14:41:28,12,12,768,3072,1024,4,True,False,0.027697348967194557,4.1580751712899655e-05,False,True
2025-08-24T14:41:33,12,12,768,3072,1024,4,True,False,0.0833158940076828,0.12255936861038208,False,False
2025-08-24T14:41:41,12,12,768,3072,1024,4,True,False,0.299185186624527,0.8593799471855164,False,True
2025-08-24T14:41:49,24,16,1024,4096,128,4,False,False,0.0961969718337059,0.0004352669639047235,False,False
